"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Ali A.; Muhammad N.; Khan I.U.","Ali, Abid (59586262300); Muhammad, Niaz (57216821343); Khan, Ihsan Ullah (59579146800)","59586262300; 57216821343; 59579146800","A quantitative analysis of spirituality and social support with its impact on cancer patients’ quality of life","2020","Khyber Medical University Journal","12","2","","126","131","1","10.35845/kmuj.2020.19939","https://www.scopus.com/pages/publications/85101523717?origin=resultslist","Department of Sociology, University of Peshawar, Peshawar, Pakistan; Department of Sociology, FATA University, TSD Dara Adam Khel, Kohat, Pakistan","Ali A., Department of Sociology, University of Peshawar, Peshawar, Pakistan; Muhammad N., Department of Sociology, University of Peshawar, Peshawar, Pakistan; Khan I.U., Department of Sociology, FATA University, TSD Dara Adam Khel, Kohat, Pakistan","OBJECTIVE:To investigate the level of spirituality and social support along with its impact on health related quality of life (QoL) in cancer patients. METHODS: This cross-sectional study was conducted from 15th July to 31st August 2018 on 200 patients selected through purposive sampling. Pre-validated questionnaires were used to collect the data on spirituality, social support and QoL, which were analyzed using SPSS v.20.0. Descriptive and inferential statistics were applied where needed. RESULTS: In 200 patients, 151 (75.5%) were male, majority (n=70; 35%) were from >48 to 58 years of age group, maximum (n=116; 58%) were unmarried, while majority had primary education (n=62; 31%). Laryngeal carcinoma (n=24; 12%), was the commonest clinical presentation followed by breast cancer (n=23; 11.5%). Majority (n=77; 38.5%) presented at Stage III, 140 (70%) reported it to be diagnosed at first evaluation, 161 (80.5%) had no family history, 109 (54.5%) reported to start spiritual treatment after diagnosis, and 117 (58.5%) reported family as their main support during the whole phase. In spirituality distinctiveness, 68 (34%) patients showed very high spiritual level, 72 (36%) reported to recite specific Quranic verses in religious practice, in which 112 (56%) reported to recite 168,واذا مرضت فهو يشفين (84%) leaned towards spiritual practices after diagnosis. In correlation, spirituality (2.42±0.596) and social support (2.19±0.568), both had a significant correlation with QoL (2.37±0.494) with values of r=0.289, p=0.000 and r=0.238, p=0.001 respectively. CONCLUSION: Spirituality and social support are the key coping mechanisms that have supportive influences on the patients' overall health-related QoL. © 2020, Khyber Medical University. All rights reserved.","Cancer (MeSH); Quality of Life (MeSH); Social Support (MeSH); Spirituality (MeSH)","","","","Khyber Medical University","23052643","","","","English","Khyber Med. Univ. J.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85101523717"
"Yao Z.; Al-Hashimy H.N.H.; Yao J.","Yao, Zhihong (59894548400); Al-Hashimy, Hisham Noori Hussain (57201093580); Yao, Jinfang (59424144800)","59894548400; 57201093580; 59424144800","Psychosocial impact and rehabilitation strategies for basketball-related injuries: SEM-PLS analysis","2025","Work","80","4","","1803","1821","7","10.1177/10519815241300290","https://www.scopus.com/pages/publications/105004836135?origin=resultslist","College of Physical Education and General Health, Yibin University, Sichuan, Yibin, China; College of Computer Science and Information Technology, University of Basrah, Basrah, Iraq; Universiti Sains Malaysia, Penang, Gelugor, Malaysia","Yao Z., College of Physical Education and General Health, Yibin University, Sichuan, Yibin, China; Al-Hashimy H.N.H., College of Computer Science and Information Technology, University of Basrah, Basrah, Iraq; Yao J., Universiti Sains Malaysia, Penang, Gelugor, Malaysia","Background: This study explores the psychosocial impact of sports-related injuries on elite basketball players and their search for psychological and counselling support. Objective: The objective is to examine how injuries affect athletes’ mental well-being, their attitudes toward received support, and their use of psychological interventions. Methods: A phenomenological approach, analysed using Partial Least Squares Structural Equation Modelling (PLS-SEM), was applied to data from 253 elite Turkish basketball players, including active and retired athletes. A structured questionnaire was administered to gather the data. Results: The results show that while athletes seek individual psychological support, they often feel neglected by their clubs, leading to insecurity and helplessness. Many report dissatisfaction with the mental health services provided by their organisations. Conclusions: The study recommends integrating sports psychologists and counsellors within clubs, promoting mental health awareness, and forming interdisciplinary teams to address this. Holistic sports education programs that foster psychological resilience and emotional regulation are also advised. Further research is needed to assess the long-term effects of interventions and the role of organizational support on athletes’ mental well-being. © The Author(s) 2025.","basketball; basketball-Related injuries; psychology; psychosocial impact; quantitative structure-activity relationship; rehabilitation; rehabilitation research; rehabilitation strategies; SEM-PLS analysis; Terms from the MeSH database; wounds and injuries","Adult; Athletes; Athletic Injuries; Basketball; Female; Humans; Latent Class Analysis; Male; Middle Aged; Rehabilitation; Surveys and Questionnaires; Turkey; adult; athlete; basketball; female; human; injury; latent class analysis; male; middle aged; procedures; psychology; questionnaire; rehabilitation; sport injury; turkey (bird)","J. Yao; Universiti Sains Malaysia, Penang, Gelugor, 11800, Malaysia; email: jinfang@student.usm.my","","SAGE Publications Ltd","10519815","","WORKF","39973744","English","Work","Article","Final","","Scopus","2-s2.0-105004836135"
"Alzayani S.; Al-Roomi K.; Ahmed J.","Alzayani, Salman (55383860400); Al-Roomi, Khaldoon (6602812720); Ahmed, Jamil (57193011774)","55383860400; 6602812720; 57193011774","Two years into digital transformation: the lived experiences of Middle Eastern medical students in a problem-based curriculum","2023","Khyber Medical University Journal","15","4","","211","217","2","10.35845/kmuj.2023.23309","https://www.scopus.com/pages/publications/85183610679?origin=resultslist","Department of Family and Community Medicine, College of Medicine and Medical Sciences, Arabian Gulf University, Bahrain","Alzayani S., Department of Family and Community Medicine, College of Medicine and Medical Sciences, Arabian Gulf University, Bahrain; Al-Roomi K., Department of Family and Community Medicine, College of Medicine and Medical Sciences, Arabian Gulf University, Bahrain; Ahmed J., Department of Family and Community Medicine, College of Medicine and Medical Sciences, Arabian Gulf University, Bahrain","OBJECTIVE: To explore the long-term impact of the transformation from faceto-face into online learning on Middle Eastern students enrolled in the medical school at Bahrain having a problem-based curriculum. METHODS: Colaizzi's phenomenological descriptive method of enquiry and data analysis approach was adopted as the research methodology. Purposive sampling method was used until the stage of data saturation was reached with a total of 13 medical student participants exposed to at least two years (February 2020 to January 2022) of compulsory online learning during the COVID-19 pandemic. The data were collected in English. Responses from the participants were analyzed, and themes were generated after two researchers coded the data and explored patterns within the data. RESULTS: The data analysis revealed five distinct but interrelated themes from the narratives of medical students' lived experiences. The students considered the shift to online learning as new experience that is extremely convenient. However, they believed that it provided them with more time to study, they had the flexibility of going back to recorded lectures at their own convenience; however, they described that communication was negatively impacted, yet they wanted to continue with online learning. CONCLUSION: Medical students have adequately adapted to the transformation of their learning from face-to-face into online. However, concerns remain in view of its negative impact on communication and hands-on skills which makes mixed education more appropriate in the post COVID-19 era. © 2023, Khyber Medical University. All rights reserved.","COVID-19 (MeSH); Digital transformation (Non-MeSH); Education, Medical (MeSH); Online (Non-MeSH); Problem-Based Learning (MeSH); Students, Medical (MeSH)","","S. Alzayani; Department of Family and Community Medicine, College of Medicine and Medical Sciences, Arabian Gulf University, Bahrain; email: salmanhz@agu.edu.bh","","Khyber Medical University","23052643","","","","English","Khyber Med. Univ. J.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85183610679"
"Vukicevic A.M.; Petrovic M.N.; Knezevic N.M.; Jovanovic K.M.","Vukicevic, Arso M. (55568836700); Petrovic, Milos N. (58253720100); Knezevic, Nikola M. (57212697678); Jovanovic, Kosta M. (36137004200)","55568836700; 58253720100; 57212697678; 36137004200","Deep Learning-Based Recognition of Unsafe Acts in Manufacturing Industry","2023","IEEE Access","11","","","103406","103418","13","10.1109/ACCESS.2023.3318114","https://www.scopus.com/pages/publications/85173027476?origin=resultslist","University of Kragujevac, Faculty of Engineering, Kragujevac, 34000, Serbia; University of Belgrade, School of Electrical Engineering, Belgrade, 11000, Serbia","Vukicevic A.M., University of Kragujevac, Faculty of Engineering, Kragujevac, 34000, Serbia; Petrovic M.N., University of Belgrade, School of Electrical Engineering, Belgrade, 11000, Serbia; Knezevic N.M., University of Belgrade, School of Electrical Engineering, Belgrade, 11000, Serbia; Jovanovic K.M., University of Belgrade, School of Electrical Engineering, Belgrade, 11000, Serbia","Despite technological progress and the tendency for automation, the majority of manufacturing workplaces still rely on human labor. Although industrial tasks are frequently composed of simple operator actions, non-ergonomic execution of such repetitive tasks has been reported as the primary cause of musculoskeletal disorders. Considering the sizes of manufacturing halls and large numbers of employees, there is an increasing need for tools that can improve the recognition of unsafe acts. Herein, a deep learning-based procedure for pose safety assessment is proposed and validated using monocular videos captured with a conventional IP camera. The two key composing components of the proposed pipeline are the three-dimensional (3D) pose estimator and mesh classifier. The proposed method was validated experimentally by considering three different methodologically selected industrial tasks: a laborious task that requires all-body effort (pushing and pulling), a task that requires an upper-limb action comprising intensive interaction and motion control (drilling), and a typical collaborative task (polishing with a collaborative robot with variable mechanical impedance). Accuracies of 84.67%, 92%, and 98%, respectively, were achieved. Besides higher accuracy, the proposed method has shown practical advantages over existing alternatives based on analyzing the parameters derived from the human poses. Particularly, we report that the proposed procedure is generic, and it works directly with 3D human body poses, which significantly increases applicability while reducing the complexity and effort needed for data annotation and output interpretation by non-experts.  © 2013 IEEE.","Artificial intelligence; human-centric industry 50; industrial engineering; workplace safety","3D printing; Collaborative robots; Deep learning; Engineering education; Intelligent robots; Occupational risks; Three dimensional displays; Collaboration; Fifth industrial revolution; Human-centric; Human-centric industry 5.0; Industrial revolutions; Manufacturing; Occupational safety; Three-dimensional display; Video; Workplace safety; Accident prevention","A.M. Vukicevic; University of Kragujevac, Faculty of Engineering, Kragujevac, 34000, Serbia; email: arso_kg@yahoo.com","","Institute of Electrical and Electronics Engineers Inc.","21693536","","","","English","IEEE Access","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85173027476"
"Smith S.L.; Misago C.N.; Osrow R.A.; Franke M.F.; Iyamuremye J.D.; Dusabeyezu J.D.; Mohand A.A.; Anatole M.; Kayiteshonga Y.; Raviola G.J.","Smith, Stephanie L. (57199389362); Misago, Claire Nancy (57193493950); Osrow, Robyn A. (57193492191); Franke, Molly F. (24448023700); Iyamuremye, Jean Damascene (37022830800); Dusabeyezu, Jeanne D'Arc (57193485824); Mohand, Achour A. (57193486035); Anatole, Manzi (56216186600); Kayiteshonga, Yvonne (55123170600); Raviola, Giuseppe J. (6701740362)","57199389362; 57193493950; 57193492191; 24448023700; 37022830800; 57193485824; 57193486035; 56216186600; 55123170600; 6701740362","Evaluating process and clinical outcomes of a primary care mental health integration project in rural Rwanda: A prospective mixed-methods protocol","2017","BMJ Open","7","2","e014067","","","14","10.1136/bmjopen-2016-014067","https://www.scopus.com/pages/publications/85014160006?origin=resultslist","Department of Global Health and Social Medicine, Harvard Medical School, Boston, MA, United States; Partners in Health, Boston, MA, United States; Division of Medical Psychiatry, Brigham and Women's Hospital, Boston, MA, United States; Mental Health Division, Rwanda Biomedical Center, Kigali, Rwanda; Doctors Without Borders, Nairobi, Kenya","Smith S.L., Department of Global Health and Social Medicine, Harvard Medical School, Boston, MA, United States, Partners in Health, Boston, MA, United States, Division of Medical Psychiatry, Brigham and Women's Hospital, Boston, MA, United States; Misago C.N., Mental Health Division, Rwanda Biomedical Center, Kigali, Rwanda; Osrow R.A., Doctors Without Borders, Nairobi, Kenya; Franke M.F., Department of Global Health and Social Medicine, Harvard Medical School, Boston, MA, United States; Iyamuremye J.D., Mental Health Division, Rwanda Biomedical Center, Kigali, Rwanda; Dusabeyezu J.D., Mental Health Division, Rwanda Biomedical Center, Kigali, Rwanda; Mohand A.A., Mental Health Division, Rwanda Biomedical Center, Kigali, Rwanda; Anatole M., Partners in Health, Boston, MA, United States; Kayiteshonga Y., Mental Health Division, Rwanda Biomedical Center, Kigali, Rwanda; Raviola G.J., Department of Global Health and Social Medicine, Harvard Medical School, Boston, MA, United States, Partners in Health, Boston, MA, United States","Introduction: Integrating mental healthcare into primary care can reduce the global burden of mental disorders. Yet data on the effective implementation of real-world task-shared mental health programmes are limited. In 2012, the Rwandan Ministry of Health and the international healthcare organisation Partners in Health collaboratively adapted the Mentoring and Enhanced Supervision at Health Centers (MESH) programme, a successful programme of supported supervision based on task-sharing for HIV/AIDS care, to include care of neuropsychiatric disorders within primary care settings (MESH Mental Health). We propose 1 of the first studies in a rural low-income country to assess the implementation and clinical outcomes of a programme integrating neuropsychiatric care into a public primary care system. Methods and analysis: A mixed-methods evaluation will be conducted. First, we will conduct a quantitative outcomes evaluation using a pretest and post-test design at 4 purposively selected MESH MH participating health centres. At least 112 consecutive adults with schizophrenia, bipolar disorder, depression or epilepsy will be enrolled. Primary outcomes are symptoms and functioning measured at baseline, 8 weeks and 6 months using clinician-administered scales: the General Health Questionnaire and the brief WHO Disability Assessment Scale. We hypothesise that service users will experience at least a 25% improvement in symptoms and functioning from baseline after MESH MH programme participation. To understand any outcome improvements under the intervention, we will evaluate programme processes using (1) quantitative analyses of routine service utilisation data and supervision checklist data and (2) qualitative semistructured interviews with primary care nurses, service users and family members. Ethics and dissemination: This evaluation was approved by the Rwanda National Ethics Committee (Protocol #736/RNEC/2016) and deemed exempt by the Harvard University Institutional Review Board. Results will be submitted for peer-reviewed journal publication, presented at conferences and disseminated to communities served by the programme.","","Community Health Workers; Delivery of Health Care, Integrated; Humans; Mental Disorders; Mental Health Services; Outcome and Process Assessment (Health Care); Primary Health Care; Prospective Studies; Research Design; Rural Population; Rwanda; Surveys and Questionnaires; adult; Article; bipolar disorder; controlled study; depression; epilepsy; family; General Health Questionnaire; health program; health services research; human; major clinical study; mental health care; nurse; outcome assessment; primary medical care; quantitative analysis; rural health care; Rwanda; schizophrenia; semi structured interview; education; health auxiliary; integrated health care system; mental disease; mental health service; methodology; primary health care; procedures; prospective study; questionnaire; rural population; Rwanda; standards; treatment outcome","S.L. Smith; Department of Global Health and Social Medicine, Harvard Medical School, Boston, United States; email: stephanie_smith@hms.harvard.edu","","BMJ Publishing Group","20446055","","","28246140","English","BMJ Open","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85014160006"
"Nease B.; Corbett C.; Armstrong S.; Casey K.","Nease, Beth (26537863300); Corbett, Cynthia (7102781291); Armstrong, Stephanie (60213837300); Casey, Kathy (57197205538)","26537863300; 7102781291; 60213837300; 57197205538","Clinical setting belongingness and development of perceived practice readiness in prelicensure nursing students: A scoping review","2026","Nurse Education Today","158","","106941","","","1","10.1016/j.nedt.2025.106941","https://www.scopus.com/pages/publications/105023061540?origin=resultslist","University of South Carolina, College of Nursing, 1601 Greene St, Columbia, 29208, SC, United States; Denver Health, 777 Bannock Street, Denver, 80204, CO, United States","Nease B., University of South Carolina, College of Nursing, 1601 Greene St, Columbia, 29208, SC, United States; Corbett C., University of South Carolina, College of Nursing, 1601 Greene St, Columbia, 29208, SC, United States; Armstrong S., University of South Carolina, College of Nursing, 1601 Greene St, Columbia, 29208, SC, United States; Casey K., Denver Health, 777 Bannock Street, Denver, 80204, CO, United States","Objective: The objective of this scoping review was to explore the link between belongingness in the clinical setting and the development of practice readiness in undergraduate student nurses. With higher demand for an increasingly competent nursing workforce, understanding the factors that contribute to practice readiness is crucial. The focus of this paper is the influence of prelicensure nursing students' perceptions of belongingness in the clinical learning environment on students ‘preparedness for professional practice. Design: The Joanna Briggs Institute methodology for scoping reviews was followed using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping Reviews Checklist. Data Sources: PubMed, CINAHL, and EMBASE databases were systematically searched. Results: The review included 25 articles describing 20 studies, with diverse study methodological approaches and participant demographics. The literature reveals a diverse array of methodological approaches, with qualitative studies significantly outnumbering quantitative. Furthermore, the global reach of the research underscores the widespread recognition of belongingness as a critical factor in clinical learning and the development of practice readiness. Conclusions: Belongingness is associated with increased opportunities for learning and skill development in the clinical setting, providing a bridge between theory and practice. A keen sense of belonging positively influences confidence in clinical problem solving, confidence in managing a patient care assignment, and confidence in clinical skill performance. © 2025","Belonging; Practice readiness or professional competence” [Mesh]; “Preceptorship” [Mesh] or senior practicum; “Students nursing” [Mesh] or undergraduate nursing student","Clinical Competence; Education, Nursing, Baccalaureate; Humans; Perception; Students, Nursing; article; belongingness; checklist; data base; demographics; human; learning environment; nursing student; patient care; preceptorship; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; problem solving; professional competence; professional practice; qualitative research; scoping review; sense of belonging; systematic review; undergraduate student; workforce; clinical competence; nursing education; perception; psychology","B. Nease; University of South Carolina, College of Nursing, Columbia, 1601 Greene St, 29208, United States; email: enease@email.sc.edu","","Churchill Livingstone","02606917","","","41308332","English","Nurse Educ. Today","Article","Final","","Scopus","2-s2.0-105023061540"
"Ball M.-C.; Le Pichon E.","Ball, Mary-Claire (57479808700); Le Pichon, Emmanuelle (36864010000)","57479808700; 36864010000","Fostering community support for multilingual education: the language friendly approach","2026","Language and Education","40","2","","309","328","1","10.1080/09500782.2025.2538840","https://www.scopus.com/pages/publications/105012199716?origin=resultslist","Department of Applied Psychology and Human Development, Ontario Institute for Studies in Education, University of Toronto, Toronto, Canada; Department of Curriculum, Teaching and Learning, Ontario Institute for Studies in Education, University of Toronto, Toronto, Canada","Ball M.-C., Department of Applied Psychology and Human Development, Ontario Institute for Studies in Education, University of Toronto, Toronto, Canada; Le Pichon E., Department of Curriculum, Teaching and Learning, Ontario Institute for Studies in Education, University of Toronto, Toronto, Canada","For the past fifteen years, research on inclusive pedagogy has strongly advocated for schools to embrace the increasing linguistic diversity within their communities by adopting a multilingual, or “language friendly” approach. Multilingual approaches are linked to positive learning outcomes, but research has found resistance from communities towards embracing home languages for learning purposes. This is the first study to explore potential resistance towards the language friendly approach specifically, which differs from other approaches by offering flexibility in the way schools integrate home languages into classroom instruction. Qualitative data were used to understand to what extent, if any, schools faced resistance towards the approach. If they experienced resistance, how did they manage it? And importantly, how have community and network characteristics and school-based strategies helped mitigate resistance and foster support for the approach? The findings show that feelings of resistance were minimal and limited to teachers during the initial transition period. We tentatively conclude that the language friendly approach provides a support system that empowers teachers, students, and their families and naturally meshes with the values and multilingual realities of the school communities, limiting resistance. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Community resistance family support; language friendly school; multilingual education; student support; teacher resistance","","E. Le Pichon; Department of Curriculum, Teaching & Learning, University of Toronto, Toronto, 252 Bloor Street West, M5S 1V6, Canada; email: e.lepichon@utoronto.ca","","Routledge","09500782","","","","English","Lang. Educ.","Article","Final","","Scopus","2-s2.0-105012199716"
"Su A.J.; Ren A.; Xu K.C.; Dogan T.","Su, Amber Jiayu (58759101400); Ren, Ann (58759144900); Xu, Kewei Curtis (58759188600); Dogan, Timur (55504702300)","58759101400; 58759144900; 58759188600; 55504702300","Scalable building reconstruction and window detection for urban building energy modelling applications","2026","Journal of Building Performance Simulation","18","7","","964","982","1","10.1080/19401493.2025.2501151","https://www.scopus.com/pages/publications/105004826202?origin=resultslist","Environmental Systems Lab, Cornell University, Ithaca, NY, United States","Su A.J., Environmental Systems Lab, Cornell University, Ithaca, NY, United States; Ren A., Environmental Systems Lab, Cornell University, Ithaca, NY, United States; Xu K.C., Environmental Systems Lab, Cornell University, Ithaca, NY, United States; Dogan T., Environmental Systems Lab, Cornell University, Ithaca, NY, United States","Creating analytical building simulation models of neighbourhoods and cities is becoming increasingly important as cities and utilities seek to use simulation to inform electrification, decarbonization and quality-of-life improvement strategies of the building stock. However, essential parameters needed for such models like detailed building, contextual geometry and key parameters such as windows or window-to-wall-ratios (WWR) are often not widely available at the municipal scale. To facilitate urban analysis such as urban building energy modelling (UBEM), we introduce a scalable and automated method for façade reconstruction and window detection using textured mesh models that can be produced from imagery, and purchased from commercial data providers for most metropolitan areas. This procedure framework leverages fine-tuned image segmentation models and post-optimization through pattern recognition and large vision model. This workflow is designed to be robust against noise and blurriness typical of large-scale photorealistic data, providing a reliable and scalable solution for building geometry reconstruction. © 2025 International Building Performance Simulation Association (IBPSA).","building geometry reconstruction; computer vision; machine learning; urban data; Window-to-wall ratios","Computer aided engineering; Computer aided instruction; Computer graphics; Cryptography; Education computing; Facades; Mesh generation; Pattern recognition; Walls (structural partitions); Building energy model; Building geometry; Building geometry reconstruction; Building reconstruction; Geometry reconstruction; Machine-learning; Urban buildings; Urban data; Window-to-wall ratio; Windows detection; Machine vision","A.J. Su; Environmental Systems Lab, Cornell University, Ithaca, United States; email: js3498@cornell.edu","","Taylor and Francis Ltd.","19401493","","","","English","J. Build. Perform. Simul.","Article","Final","","Scopus","2-s2.0-105004826202"
"Gamtesa D.F.; Tola H.H.; Mehamed Z.; Tesfaye E.; Alemu A.","Gamtesa, Dinka Fikadu (57216850956); Tola, Habteyes Hailu (56499317100); Mehamed, Zemedu (57209300351); Tesfaye, Ephrem (57202372005); Alemu, Ayinalem (57208723853)","57216850956; 56499317100; 57209300351; 57202372005; 57208723853","Health care seeking behavior among presumptive tuberculosis patients in Ethiopia: A systematic review and meta-analysis","2020","BMC Health Services Research","20","1","445","","","19","10.1186/s12913-020-05284-5","https://www.scopus.com/pages/publications/85084963068?origin=resultslist","Ethiopian Public Health Institute, Tuberculosis/HIV Research Directorate, PO Box 1242, Addis Ababa, Ethiopia","Gamtesa D.F., Ethiopian Public Health Institute, Tuberculosis/HIV Research Directorate, PO Box 1242, Addis Ababa, Ethiopia; Tola H.H., Ethiopian Public Health Institute, Tuberculosis/HIV Research Directorate, PO Box 1242, Addis Ababa, Ethiopia; Mehamed Z., Ethiopian Public Health Institute, Tuberculosis/HIV Research Directorate, PO Box 1242, Addis Ababa, Ethiopia; Tesfaye E., Ethiopian Public Health Institute, Tuberculosis/HIV Research Directorate, PO Box 1242, Addis Ababa, Ethiopia; Alemu A., Ethiopian Public Health Institute, Tuberculosis/HIV Research Directorate, PO Box 1242, Addis Ababa, Ethiopia","Background: Health seeking behavior is one of the challenges affecting tuberculosis (TB) control program because of its high risk to prolonged diseases transmission and poor treatment outcome. Although there are few primary studies that reported diversified magnitudes of health seeking behavior among presumptive TB patients in Ethiopia, there is no review study that attempted to summarize the available evidence. Thus, this review was aimed to estimate the proportion of health care seeking behavior from health facility and to summarize the reasons why individuals with presumptive TB are not seeking health care in Ethiopia. Method: A systematic review and meta-analysis study was conducted on primary studies that reported proportion of health seeking behavior among presumptive TB patients. Electronic databases: PubMed, Google Scholar and Science Direct were searched to retrieve studies published in English language from Ethiopia without restricting publication year. In addition, bibliographies of included studies were also screened to retrieve potential studies. The keywords ""health seeking"", ""health seeking behavior"", ""TB suspects"" and ""presumptive TB"" were used both in Medical Subject Heading (MeSH) and free text. Random effects meta-analysis model was used to estimate the pooled proportions of health care seeking and not seeking behaviors. Stata version 14 was used for data analysis. Result: Five studies which involved 3230 patients with presumptive TB were included into this review. The pooled estimated proportion of health care seeking behavior among presumptive TB patients from health facilities was 65% (95% CI, 54-76%), while the pooled proportion of not seeking health care from any sources was 17% (95% CI;6-27%). In addition, 18% (95% CI; 5-30%) of presumptive TB patients were seeking health care from inappropriate sources. Being female, younger age, low income status, absence of previous TB treatment history, low education status were the risk factors that associated with low health care seeking behavior. Conclusion: Considerable proportion of patients with presumptive TB were not seeking health care from health facilities or seeks care from inappropriate sources in Ethiopia. Implementing efforts that could improve health care seeking behavior is vital to prevent prolonged disease transmission through immediate treatment commencement. © 2020 The Author(s).","Health facility; Health seeking; Health seeking behavior","Adult; Ethiopia; Female; Health Facilities; Humans; Male; Middle Aged; Patient Acceptance of Health Care; Risk Factors; Socioeconomic Factors; Tuberculosis; adult; Ethiopia; female; health care facility; human; male; meta analysis; middle aged; patient attitude; risk factor; socioeconomics; tuberculosis","D.F. Gamtesa; Ethiopian Public Health Institute, Tuberculosis/HIV Research Directorate, Addis Ababa, PO Box 1242, Ethiopia; email: ejeta430@gmail.com","","BioMed Central Ltd.","14726963","","","32429988","English","BMC Health Serv. Res.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85084963068"
"Duraes M.; Akkari M.; Jeandel C.; Moreno B.; Subsol G.; Duflos C.; Captier G.","Duraes, Martha (57195568908); Akkari, Mohamed (55557555100); Jeandel, Clément (56592048500); Moreno, Benjamin (37038039100); Subsol, Gérard (6603119484); Duflos, Claire (56703058300); Captier, Guillaume (55858987400)","57195568908; 55557555100; 56592048500; 37038039100; 6603119484; 56703058300; 55858987400","Dynamic three-dimensional virtual environment to improve learning of anatomical structures","2022","Anatomical Sciences Education","15","4","","754","764","12","10.1002/ase.2158","https://www.scopus.com/pages/publications/85123442247?origin=resultslist","Department of Anatomy, Faculty of Medicine, University of Montpellier, Montpellier, France; Société IMA Solutions, Toulouse, France; Laboratory of Computer Science Robotics and Microelectronics, Centre National De Recherche Scientifique, University of Montpellier, Montpellier, France; Department of Medical Information, Montpellier University Hospital, Montpellier, France","Duraes M., Department of Anatomy, Faculty of Medicine, University of Montpellier, Montpellier, France; Akkari M., Department of Anatomy, Faculty of Medicine, University of Montpellier, Montpellier, France; Jeandel C., Department of Anatomy, Faculty of Medicine, University of Montpellier, Montpellier, France; Moreno B., Société IMA Solutions, Toulouse, France; Subsol G., Laboratory of Computer Science Robotics and Microelectronics, Centre National De Recherche Scientifique, University of Montpellier, Montpellier, France; Duflos C., Department of Medical Information, Montpellier University Hospital, Montpellier, France; Captier G., Department of Anatomy, Faculty of Medicine, University of Montpellier, Montpellier, France","Increasing number of medical students and limited availability of cadavers have led to a reduction in anatomy teaching through human cadaveric dissection. These changes triggered the emergence of innovative teaching and learning strategies in order to maximize students learning of anatomy. An alternative approach to traditional dissection was presented in an effort to improve content delivery and student satisfaction. The objective of this study is to acquire three-dimensional (3D) anatomical data using structured-light surface scanning to create a dynamic four-dimensional (4D) dissection tool of four regions: neck, male inguinal and femoral areas, female perineum, and brachial plexus. At each dissection step, identified anatomical structures were scanned using a 3D surface scanner (Artec Spider™). Resulting 3D color meshes were overlaid to create a 4D (3D+time) environment. An educational interface was created for neck dissection. Its implementation in the visualization platform allowed 4D virtual dissection by navigating from surface to deep layers and vice versa. A group of 28 second-year medical students and 17 first-year surgery residents completed a satisfaction survey. A majority of medical students (96.4%) and 100% of surgery residents said that they would recommend this tool to their colleagues. According to surgery residents, the main elements of this virtual tool were the realistic high-quality of 3D acquisitions and possibility to focus on each anatomical structure. As for medical students, major elements were the interactivity and entertainment aspect, precision, and accuracy of anatomical structures. This approach proves that innovative solutions to anatomy education can be found to help to maintain critical content and student satisfaction in anatomy curriculum. © 2021 American Association for Anatomy.","4D environment; cadaver dissection; dynamic virtual dissection; gross anatomy education; medical education; surface scanner","Anatomy; Cadaver; Curriculum; Education, Medical, Undergraduate; Female; Humans; Learning; Male; Students, Medical; adult; article; brachial plexus; controlled study; curriculum; female; human; human experiment; inguinal region; learning; male; medical student; neck dissection; perineum; resident; student satisfaction; anatomy; cadaver; education; learning; medical education; medical student; procedures","G. Captier; Department of Anatomy, Faculty of Medicine, University of Montpellier, Montpellier, France; email: guillaume.captier@umontpellier.fr","","John Wiley and Sons Inc","19359772","","","34850577","English","Anat. Sci. Educ.","Article","Final","","Scopus","2-s2.0-85123442247"
